pair_id,seed,stage,face_width,face_height,wh_ratio,jaw_width,cheek_width,temple_width,interocular_dist,nose_width,mouth_width,jaw_angle,contour_area,mut_head,mut_head_cheek,mut_head_chin,mut_head_ear,mut_head_ear_helix,mut_head_ear_lobule,mut_head_eye_botton lid,mut_head_eye_eyelashes,mut_head_eye_iris,mut_head_eye_pupil,mut_head_eye_sclera,mut_head_eye_tear duct,mut_head_eye_top lid,mut_head_eyebrow,mut_head_forehead,mut_head_frown,mut_head_hair,mut_head_hair_sideburns,mut_head_jaw,mut_head_moustache,mut_head_mouth_inferior lip,mut_head_mouth_oral comisure,mut_head_mouth_superior lip,mut_head_mouth_teeth,mut_head_neck,mut_head_nose,mut_head_nose_ala of nose,mut_head_nose_bridge,mut_head_nose_nose tip,mut_head_nose_nostril,mut_head_philtrum,mut_head_temple,mut_head_wrinkles
p1,83,Mutation_Enabled,598.1412963867188,434.0046081542969,1.3781911134719849,498.0642395019531,579.0699462890625,484.0041198730469,146.0,107.00466918945312,222.14410400390625,118.89765930175781,255890.5,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
p1,83,StyleGAN2_Output,590.0686645507812,434.0184326171875,1.35954749584198,474.0010681152344,563.0035400390625,490.0,149.0,109.00458526611328,221.03619384765625,115.82455444335938,246243.5,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
p1,84,Gene_Crossover,577.0554809570312,465.0043029785156,1.2409679889678955,485.037109375,564.0035400390625,482.02593994140625,151.0,110.00454711914062,228.0350799560547,113.03709411621094,258447.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1,84,Mutation_Enabled,578.0216064453125,449.18817138671875,1.2868139743804932,452.110595703125,540.0231323242188,487.01641845703125,147.00340270996094,109.00458526611328,203.03939819335938,108.30601501464844,243702.0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
p1,84,StyleGAN2_Output,585.03076171875,452.0010986328125,1.2943127155303955,471.0382080078125,558.0036010742188,493.0364990234375,149.00335693359375,108.00463104248047,205.0390167236328,113.21125793457031,251907.0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
p1,85,Gene_Crossover,598.0300903320312,441.0283508300781,1.3559901714324951,506.01580810546875,584.00341796875,494.00909423828125,148.0,113.0,226.00221252441406,124.16960906982422,259271.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1,85,Mutation_Enabled,569.0430297851562,431.004638671875,1.3202712535858154,468.0384521484375,542.0452270507812,481.00103759765625,148.0,109.0,227.0550537109375,113.64826202392578,234570.5,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0
p1,85,StyleGAN2_Output,574.0034790039062,431.01043701171875,1.3317623138427734,471.0,552.0,483.05072021484375,150.00332641601562,107.00466918945312,224.10934448242188,117.09779357910156,238125.0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0
p1,86,Gene_Crossover,583.0,447.0,1.3042505979537964,482.2032775878906,563.1278686523438,486.0257263183594,147.01361083984375,115.00434875488281,214.08409118652344,111.734130859375,248867.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1,86,Mutation_Enabled,582.0549926757812,429.0943908691406,1.3564730882644653,466.0525817871094,547.0009155273438,495.0040283203125,147.0,107.01869201660156,212.0848846435547,117.65851593017578,238403.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0
